1.		aist_2012_c6bc0383ea448fcb7e5f45ac85a1afb2d12505ef	ru	Применение Онтологии при Синтезе Изображения по Тексту	http://legacy.aistconf.org/stuff/aist2012.pdf	TASK::Тематическое_моделирование(0.7382532358169556)|TASK::Извлечение_именованных_сущностей(0.724492073059082)|TASK::Cегментация_текста(0.7132718563079834)|TASK::Дистрибутивная_семантика(0.7104436159133911)
9	dialogue_2003_d2833f08db67f72fee623ad229a7510c7b8df9aa	ru	0.9682506322860718	Объектная Модель Многофункциональных Словарей, Основанная на Синтезе Лингвистических Единиц	http://www.dialog-21.ru/media/2636/ivlicheva.pdf	TASK::Извлечение_именованных_сущностей(0.7324614524841309)
10	dialogue_2007_fae40b13fd3be96582088d47c8d99f918a6dbb18	ru	0.9679949879646301	Опыт Латышско↔русского Машинного Перевода	http://www.dialog-21.ru/media/1842/21.pdf	TASK::Извлечение_именованных_сущностей(0.7169918417930603)

9.		dialogue_2003_e0f3ab61a399630033ac49475bf036c043196202	ru	Сколько Страниц на Данном Языке Содержит Интернет?	http://www.dialog-21.ru/media/2611/bolshakov.pdf	
1	aist_2013_41d7684e528d04d31dc6f0f7937b60bb7fe64e2b	ru	0.9850699305534363	Оценка Сниппетов в Поиске Mail.ru: Корреляция Автоматических и Ассессорских Оценок	http://www.academia.edu/download/31338210/aist2013_submission_38.pdf	
2	dialogue_2009_ac4a1cd7d3a5d29ea900544527574468fa4d13c4	ru	0.9835301637649536	Лексические Функции и Возможности Оптимизации Поиска Информации в Интернете (На Материале Параметрических Слов)	http://www.dialog-21.ru/media/1624/74.pdf	TASK::Извлечение_именованных_сущностей(0.704457700252533)
3	dialogue_2013_d99b6714cc7a6a01a0bbc8d16bc1381efbb1a359	ru	0.9825125932693481	Корпус как Язык: от Масштабируемости к Дифференциальной Полноте	http://www.dialog-21.ru/media/1224/belikovvi.pdf	TASK::Тематическое_моделирование(0.7091699838638306)
4	dialogue_2009_4fde7b1a42f7e9d0e27f31294071c2e9e2cde14c	ru	0.9825066924095154	Некоторые Сложности Автоматизированной Лемматизации Несловарных Словоформ	http://www.dialog-21.ru/media/1576/26.pdf	
5	dialogue_2006_d98b067197b8a857941ed7964f623502395c3315	ru	0.9824241995811462	Расширенный Эксперимент по Автоматическому Обнаружению и Исправлению Русских Малапропизмов	http://www.dialog-21.ru/media/1933/bolshakova.pdf	
6	dialogue_2014_f805dff2fff141b13a0d99ba9646f50b3122f4b9	ru	0.9823917150497437	Илья Сегалович и Развитие Идей Компьютерной Лингвистики в Яндексе	http://www.dialog-21.ru/digests/dialog2014/materials/pdf/ZelenkovYuG.pdf	TASK::Тематическое_моделирование(0.7114038467407227)|TASK::Извлечение_именованных_сущностей(0.7020204067230225)
7	dialogue_2010_63f4e0a30446daa0fb98f5af42dd72f22f2aa6bc	ru	0.9817756414413452	Автоматическое Формирование Базы Сочетаемости Слов на Основе Очень Большого Корпуса Текстов	http://www.dialog-21.ru/media/1654/29.pdf	TASK::Извлечение_именованных_сущностей(0.7041031122207642)
8	dialogue_2000_aa737aec6c6aca16230c8f4793e25fe94a99bced	ru	0.9817265272140503	Вариант Системы Распознавания Речи	http://www.dialog-21.ru/digest/2000/articles/galunov/	
9	dialogue_2014_f3bc6814efc3760ed6e1539710b6fb234e3f4671	ru	0.9816041588783264	Дифференциальная Корпусная Статистика на Основании Неавтоматической Метатекстовой Разметки	http://www.dialog-21.ru/digests/dialog2014/materials/pdf/BelikovVI.pdf	TASK::Тематическое_моделирование(0.714645504951477)
10	aist_2013_850a8c2b914358a5124c7051ac01bb5c59f28c6f	ru	0.9813531637191772	Генерация Сниппетов в Поисковых Системах как Задача Автоматического Квазиреферирования	http://legacy.aistconf.org/stuff/aist2013.pdf	TASK::Тематическое_моделирование(0.7047452926635742)

10.		dialogue_2003_ccc14b44cd5851614cd4adfbd59dd73fcdb8a09e	ru	Две Стратегии Взвешивания Признаков при Дистрибутивной Классификации Слов	http://www.dialog-21.ru/media/2677/pekar.pdf	
1	dialogue_2002_586a53fd1369411ce28af3c73f813cd7ee699bde	ru	0.9807026982307434	Автоматическое Пополнение Специализированного Тезаурус	http://www.dialog-21.ru/digest/2002/articles/pekar/	TASK::Извлечение_именованных_сущностей(0.7111804485321045)|TASK::Тематическое_моделирование(0.700108528137207)
2	dialogue_2006_4e4d74ae8124c5e7f5dcc51dfd96c61b10418ff3	ru	0.9804683923721313	Алгоритм Автоматизированного Разрешения Анафоры Местоимений Третьего Лица на Основе Методов Машинного Обучения	http://www.dialog-21.ru/media/2008/tolpegin.pdf	TASK::Тематическое_моделирование(0.7149094939231873)|TASK::Извлечение_именованных_сущностей(0.7035496830940247)
3	dialogue_2012_0a001d407b1cf2a74999fd05536a51978f627836	ru	0.980323314666748	Автоматический Анализ Тональности Текстов на Основе Методов Машинного Обучения	http://www.dialog-21.ru/media/1380/105.pdf	TASK::Тематическое_моделирование(0.7211416959762573)
4	dialogue_2005_bcc73955169fcb7f1faa92fadf2b3dff77012aeb	ru	0.9789150953292847	Вероятностная Модель Снятия Морфологической Омонимии на Основе Нормализующих Подстановок и Позиций Соседних Слов	http://www.dialog-21.ru/media/2444/zelenkov_segalovich.pdf	TASK::Извлечение_именованных_сущностей(0.7047716975212097)
5	dialogue_2010_89654a6e174bee3159dfb0992fc50386d87840a1	ru	0.9784102439880371	Референциальный Выбор как Многофакторный Вероятностный Процесс	http://www.dialog-21.ru/media/1653/28.pdf	TASK::Тематическое_моделирование(0.7115781307220459)|TASK::Извлечение_именованных_сущностей(0.7066473364830017)
6	dialogue_2004_4bcf5826b7d5003df12f07c646fa971ac7ac48f6	ru	0.9779490828514099	Дистрибутивная Модель Сочетаемостных Ограничений Глаголов	http://www.dialog-21.ru/media/2556/pekar.pdf	
7	dialogue_2009_96fe9e297f9ba870b07148f0377038e8583381ab	ru	0.9776313304901123	Идентификация Автора Текста с Помощью Аппарата Опорных Векторов в Случае Двух Возможных Альтернатив	http://www.dialog-21.ru/media/1617/67.pdf	TASK::Тематическое_моделирование(0.7013909816741943)
8	dialogue_2008_c69bd78a65834f8e697945f4fa81e759a979d8a0	ru	0.9769770503044128	генетический Алгоритм Для Автоматического Разбиения Слов на Морфемы	http://www.dialog-21.ru/media/1736/15.pdf	
9	aist_2013_41d7684e528d04d31dc6f0f7937b60bb7fe64e2b	ru	0.9763467907905579	Оценка Сниппетов в Поиске Mail.ru: Корреляция Автоматических и Ассессорских Оценок	http://www.academia.edu/download/31338210/aist2013_submission_38.pdf	
10	dialogue_2015_58725bb07af0f4d3492cefa609f284ead6000caf	ru	0.9759584665298462	Квантитативные Методы в Диахронических Корпусных Исследованиях: Конструкции с Предикативами и Дативным Субъектом	http://www.dialog-21.ru/digests/dialog2015/materials/pdf/Bonch-OsmolovskayaAA.pdf	TASK::Извлечение_именованных_сущностей(0.7042310237884521)

11.		dialogue_2003_b42261987b561abd566100c046ad51dd958702a6	ru	О Некоторых Семиотических Парадоксах в Русской Грамматике	http://www.dialog-21.ru/media/2678/percov.pdf	TASK::Извлечение_именованных_сущностей(0.7190715074539185)
1	dialogue_2000_f911271f58e2817b4e2eb3289bcb5f1153c64d03	ru	0.9815646409988403	Автоматический Морфологический Анализ Русских Словоформ с Префиксальным Отрицанием: Несколько Теоретических Проблем	http://www.dialog-21.ru/digest/2000/articles/krylov/	TASK::Извлечение_именованных_сущностей(0.7239857316017151)
2	dialogue_2004_4c05fde1a895912e844e663e608f5398e2b9c5b6	ru	0.9805601835250854	О Явлении Автоконверсии	http://www.dialog-21.ru/media/2509/gankin.pdf	TASK::Извлечение_именованных_сущностей(0.7071354389190674)
3	dialogue_2006_3ae7aa2ebf6641e8a3e1ea68d3b1a6a15f1e1ab2	ru	0.9786051511764526	Способы Введения Темы в Русском Языке	http://www.dialog-21.ru/media/1952/grudeva.pdf	TASK::Извлечение_именованных_сущностей(0.7159665822982788)
4	dialogue_2010_9e64e5d6f4950200924caf0f8a9cc765b35a425c	ru	0.9784213304519653	Именные Предикативы и Дативные Предложения в Европейских Языках	http://www.dialog-21.ru/media/1704/79.pdf	TASK::Извлечение_именованных_сущностей(0.7126423120498657)
5	dialogue_2004_d0b54334d7c9434e2e36635d0649d4a749a4890b	ru	0.9777793884277344	Для чего Нужен Звучащий Словарь Дискурсивных Слов Русского Языка	http://www.dialog-21.ru/media/2525/kobozeva.pdf	TASK::Извлечение_именованных_сущностей(0.7042603492736816)
6	dialogue_2007_ed67c940fe22dc3e82e4e5694785bd4a244e0f14	ru	0.97757488489151	Полисемия Дискурсивных Слов и Возможности ее Разрешения в Контексте Предложения (На Примере Слова Вот)	http://www.dialog-21.ru/media/1859/38.pdf	TASK::Извлечение_именованных_сущностей(0.7197233438491821)
7	dialogue_2008_1a8f4e0fad2e4388b2aa60abb8a455f8fbd3a6d2	ru	0.9774473309516907	О Проекте Активного Словаря (Ас) Русского Языка	http://www.dialog-21.ru/media/1725/4.pdf	TASK::Извлечение_именованных_сущностей(0.7031869888305664)
8	dialogue_2013_4b0ee8b52c633bc2cc9ee587756a5e3f776a8a66	ru	0.9771689772605896	Полипредикативные Конструкции с то что в Непубличной Устной Речи	http://www.dialog-21.ru/media/1254/korotaevna.pdf	
9	dialogue_2004_27a67dd9f048c92af950c0ea6d672f11ec57f151	ru	0.9767597913742065	Серия Неопределённых Местоимений с Нулевым Маркером Неопределённости в Русском Языке	http://www.dialog-21.ru/media/2574/tretjakova.pdf	
10	dialogue_2017_03db8aba490a56ee79914941eb313aadb2d5ad5b	ru	0.9766261577606201	Орфоэпический Взгляд на Некоторые Вариантные Явления Русского Литературного Языка в Эпоху Корпусной Лингвистики	http://www.dialog-21.ru/media/3940/pozharickajaskdobrushinaer.pdf	

12.		dialogue_2019_4a5c4385216b2220faf8860da8101e1c3744c9ca	ru	Прагматика В Интерпретации Сфер Действия (На Материале Письменных Русских Текстов)	http://www.dialog-21.ru/media/4582/apresjanvju-066.pdf	TASK::Извлечение_именованных_сущностей(0.7106069326400757)|TASK::Анализ_тональности(0.7067534923553467)
1	dialogue_2018_0eb84d5355d2391499df211f5922f3135d5592ee	ru	0.9918192028999329	Разрешение Неоднозначности Сфер Действия В Письменных Текстах (На Материале Английского Языка)	http://www.dialog-21.ru/media/4285/apresyanvju.pdf	TASK::Извлечение_именованных_сущностей(0.70047926902771)
2	dialogue_2018_c8e13efcc7fcc866f619d3f5f6d3cbedff02126d	ru	0.9851048588752747	Интерпретация Русских Местоимений В Контекстах Контрфактического Тождества: Опыт Корпусного Исследования	http://www.dialog-21.ru/media/4337/tiskindb.pdf	TASK::Извлечение_именованных_сущностей(0.7078676223754883)
3	dialogue_2016_2db1947ff83ede162c76d0ea04499356c06b2834	ru	0.9844184517860413	Структура Двухместных Коннекторов Русского Языка В Свете Корпусных Данных	http://www.dialog-21.ru/media/3394/inkovaoyu.pdf	TASK::Извлечение_именованных_сущностей(0.7116267085075378)
4	dialogue_2017_32140400223bd12244ed2cd91d38771ea4d86dbc	ru	0.9830724596977234	Когда Статья — Это не Статья: «Отрицательные Тавтологии» в Русском Языке	http://www.dialog-21.ru/media/3960/vilinbakhovael.pdf	
5	dialogue_2006_efac0ef41b692b6dfb2e8d9a4fa6d420c332e2db	ru	0.9828344583511353	Русские Предикатные Имена и Отрицание	http://www.dialog-21.ru/media/1993/pazelskaya.pdf	TASK::Извлечение_именованных_сущностей(0.7248942852020264)
6	dialogue_2019_3824adc497a9eb6d964638500081edef76c643f2	ru	0.9827830791473389	Семантические Типы Импликатур И Условия Их Возникновения (На Материале Корпуса Газетных Заголовков)	http://www.dialog-21.ru/media/4583/apresjanvjuplusorlovav-012.pdf	TASK::Извлечение_именованных_сущностей(0.7133218050003052)
7	dialogue_2017_43e41133d6f8ff3438d9418ecc0c4edda43ab1d6	ru	0.9823459386825562	Отрицательная и Положительная Поляризация: Семантические Источники	http://www.dialog-21.ru/media/3896/apresjanvju.pdf	TASK::Извлечение_именованных_сущностей(0.7037876844406128)
8	dialogue_2014_f135781f32c4be9967d735ab618edc39f129f58f	ru	0.9815496802330017	Снятая Утвердительность и Неверидикативность	http://www.dialog-21.ru/digests/dialog2014/materials/pdf/PaduchevaEV.pdf	
9	dialogue_2019_c0d48d7b8d531ddd59c5f5d953b0957c9fab35b3	ru	0.9814937710762024	Притяжательные Местоимения В Русских Объектных Именных Группах	http://www.dialog-21.ru/media/4634/tiskindb-065.pdf	TASK::Извлечение_именованных_сущностей(0.7095637321472168)
10	dialogue_2018_f135781f32c4be9967d735ab618edc39f129f58f	ru	0.9812707901000977	Снятая утвердительность и неверидикативность	http://www.dialog-21.ru/media/4323/paduchevaev.pdf	

13.		dialogue_2006_b8c6726eb307e468087cc332646b274ed4c821bc	ru	А кто этот Этот? Имена Собственные и Неопределенная Определенность	http://www.dialog-21.ru/media/1954/iomdinb.pdf	
1	dialogue_2018_52d7ec2abc79699f01012a79b1540626e87131c4	ru	0.9916021823883057	Абы: Корпусное Исследование В Аспекте Синхронии И Диахронии	http://www.dialog-21.ru/media/4315/levontinaib_shmelevad.pdf	
2	dialogue_2019_f0e2520e152969eced10e85d612e59e97bb7440b	ru	0.9913647770881653	Русское Что-То Как Дискурсивное Слово	http://www.dialog-21.ru/media/4639/zalizniakannaapluspaduchevaev-038.pdf	
3	dialogue_2010_c252069136aa7bb3b8769e50b37854e9229df599	ru	0.9896363019943237	Такая Девочка-девочка. Семантика Редупликации Существительных в Русской Разговорной Речи и Языке Интернета	http://www.dialog-21.ru/media/1490/15.pdf	
4	dialogue_2018_e12b6c4384ff5cb32b0fb1fddb03f06a12ccc67e	ru	0.9895232915878296	Русское Как-Нибудь По Данным Параллельных Корпусов	http://www.dialog-21.ru/media/4342/zalizniakannaa.pdf	
5	dialogue_2017_093856064e8b96038bbdbb6c563857b1fc90d8eb	ru	0.9886103868484497	Говорю Я, Карл...	http://www.dialog-21.ru/media/3941/rakhilinaev.pdf	
6	dialogue_2017_4764b1d97f58093df9caa377385a9a280f81e3bc	ru	0.9884183406829834	Дискурсивные Частицы и Способы их Перевода: ну в Романе Владимира Сорокина «Очередь»	http://www.dialog-21.ru/media/3907/dobrovol-skijdolevontinaib.pdf	
7	dialogue_2015_5ae5ce82cd8cf56a11ba04b33a8fc50a8e1c5c21	ru	0.9883630871772766	Модальные Частицы и Идея Актуализации Забытого (На Материале Параллельных Корпусов)	http://www.dialog-21.ru/digests/dialog2015/materials/pdf/DobrovolskijDOLevontinaIB.pdf	
8	dialogue_2011_8574fd6ac6f464346d7656fc5851639e2227eaa3	ru	0.9881110787391663	О Некоторых Лексических «Открытиях» на Материале Русской Спонтанной Речи (Корпусное Исследование)	http://www.dialog-21.ru/media/1413/13.pdf	
9	dialogue_2012_68cc91137e1b4d8adc600c866579d191282ae807	ru	0.9878386855125427	О Синонимии Фокусирующих Частиц (На Материале Немецкого и Русского Языков)	http://www.dialog-21.ru/media/1324/156.pdf	
10	dialogue_2013_9dbe16ce07df4823e232657f0c2b12df14673302	ru	0.9872430562973022	Эгоцентрические Единицы Языка и Режимы Интерпретации	http://www.dialog-21.ru/media/1274/paduchevaev.pdf	

14.		dialogue_2006_500e96450545e5b1778ee12e7e83dd23945ace7c	ru	О Лексических Маркерах Хезитации в Спонтанной Речи: Уроки Армянского	http://www.dialog-21.ru/media/1996/podlesskaya.pdf	
1	dialogue_2013_60a42db6b8cc0c523f57938607f88b0398e153c3	ru	0.9905513525009155	Нечеткая Номинация в Русской Разговорной Речи: Опыт Корпусного Исследования	http://www.dialog-21.ru/media/1281/podlesskayavi.pdf	
2	dialogue_2007_2e30ec4ef54387419885b0d339ae800ed84740f0	ru	0.9867420196533203	Многозначность Конструкции «Что Плюс за Плюс Именная Группа» в Свете Данных Национального Корпуса Русского Языка: что же Это за Конструкция?!	http://www.dialog-21.ru/media/1892/71.pdf	
3	dialogue_2013_4b0ee8b52c633bc2cc9ee587756a5e3f776a8a66	ru	0.9862403869628906	Полипредикативные Конструкции с то что в Непубличной Устной Речи	http://www.dialog-21.ru/media/1254/korotaevna.pdf	
4	dialogue_2019_c0d48d7b8d531ddd59c5f5d953b0957c9fab35b3	ru	0.9861379265785217	Притяжательные Местоимения В Русских Объектных Именных Группах	http://www.dialog-21.ru/media/4634/tiskindb-065.pdf	TASK::Извлечение_именованных_сущностей(0.7095637321472168)
5	dialogue_2019_6950c7c7ff7613ae643005c50f4caa7ae5fbdbee	ru	0.9858406782150269	Достали Так Употреблять Инфинитив! О Новой Каузативной Конструкции В Русском Языке	http://www.dialog-21.ru/media/4611/levontinaibpluspolinskyms-029.pdf	
6	dialogue_2002_d1de430cf94bc088d7d83ee8b3c21b3fc5892315	ru	0.9856907725334167	Уроки Русско-английского(из Опыта Работы Системы Машинного Перевода)	http://www.dialog-21.ru/digest/2002/articles/iomdinl/	
7	dialogue_2018_144441fd3f002ce2ffb8b23ada7c199d2dca292b	ru	0.9853994846343994	«А У Нас В Квартире Газ! А У Вас?»: Конструкции С Союзом A По Данным Просодически Размеченного Корпуса	http://www.dialog-21.ru/media/4328/podlesskayavi.pdf	
8	dialogue_2019_bc17fe808de94ed77873d64da3cf396c6d603b61	ru	0.9849206209182739	Аннотирование Параллельных Текстов: Понятие «Дивергентный Перевод»	http://www.dialog-21.ru/media/4600/inkovaoyu-019.pdf	
9	dialogue_2008_1a8f4e0fad2e4388b2aa60abb8a455f8fbd3a6d2	ru	0.984492838382721	О Проекте Активного Словаря (Ас) Русского Языка	http://www.dialog-21.ru/media/1725/4.pdf	TASK::Извлечение_именованных_сущностей(0.7031869888305664)
10	dialogue_2010_f88783641be7a02234e49ac66bf46b3220ecc034	ru	0.984454870223999	Самоисправления Говорящего в Японском Устном Нарративе: Анализ Корпусных Данных	http://www.dialog-21.ru/media/1683/58.pdf	

15.		dialogue_2006_0b84d340edc8c21225ced251746f5013078b5df3	ru	Словарь «Языки Русских Городов»: Подбор Примеров И Интернет	http://www.dialog-21.ru/media/1929/belikov.pdf	
1	dialogue_2008_92dc674e50f5feacea9e19b58409a4d06a687146	ru	0.9859198331832886	Паремии как Объект Лексикографии	http://www.dialog-21.ru/media/1728/7.pdf	
2	dialogue_2009_af411bd52e2f3cf5f1e024262af7e10ce3efab08	ru	0.9851471781730652	Статистическая Оценка Функциональных Свойств Лексики по Материалам Интернета	http://www.dialog-21.ru/media/1555/05.pdf	
3	dialogue_2012_5c971351607a8c9d3467cd3fce4330e4e3568527	ru	0.9840295314788818	О Проекте Словаря Дискурсивных Единиц Русской Речи (На Корпусном Материале)	http://www.dialog-21.ru/media/1317/2.pdf	
4	dialogue_2019_03f4c316f774af7eb5e83660acb0635578d6c9e8	ru	0.9833699464797974	Дискурсивные Слова В Корпусном Измерении: Одним Словом У Достоевского И Его Современников	http://www.dialog-21.ru/media/4585/baranovanplusdobrovolskij-do-043.pdf	
5	dialogue_2014_12511ab58e84736932afa8d7bdc3ba92327141fc	ru	0.9833494424819946	Души Сиреневая Цветь… или Просто Какая-то Хрень? Бессуффиксальные Существительные в Текстах Русских Писателей	http://www.dialog-21.ru/digests/dialog2014/materials/pdf/MikheevMJu.pdf	
6	dialogue_2016_70cc4173f4c190e0ad3d7190a5cc5b4fbb2da178	ru	0.9828870296478271	Дискурсивные Слова И Коммуникативы	http://www.dialog-21.ru/media/3423/sharonovia.pdf	TASK::Извлечение_именованных_сущностей(0.7019610404968262)
7	dialogue_2018_d96b445a13582434d34f6926199abb387f78d2fa	ru	0.9825069904327393	Еще Раз О Микроконструкциях, Сформированных Служебными Словами: То И Дело	http://www.dialog-21.ru/media/4301/iomdinll.pdf	
8	dialogue_2013_ad27c33a9d8e7513bf07a53f8e7d4a91228603c1	ru	0.9823753833770752	Маг Вел Мот: Изменения в Языке на Материале Бытовой Терминологии	http://www.dialog-21.ru/media/1249/iomdinll-etal.pdf	
9	dialogue_2012_fcfbb30f92ce6f0b2e3889ded9b03512309ae0b9	ru	0.9820355176925659	О Способах Лексикографического Описания Русской Спонтанной Речи (Корпусное Исследование)	http://www.dialog-21.ru/media/1357/3.pdf	
10	dialogue_2010_bac342fbc105ac93542a4384306ec0a1c5ee7b46	ru	0.981869637966156	Компиляция Или… Языковые Клише? Сравнивая Характерные для Авторского Стиля Наборы Словосочетаний	http://www.dialog-21.ru/media/1677/52.pdf	

16.		dialogue_2006_616c78c53b3b322a4eea4418d1d10d9d1508cf12	ru	Русские Культурные Концепты в Европейской Лингвистической Перспективе: Слово Проблема	http://www.dialog-21.ru/media/2024/zaliznyak2.pdf	
1	dialogue_2008_33f8132d7279f34984acd7ce373830bfdea6599f	ru	0.9851107597351074	Тексты А.платонова как Лингвистический Источник	http://www.dialog-21.ru/media/1745/24.pdf	
2	dialogue_2015_0aabf723846ce074071f86a3cec06629441d510e	ru	0.98280930519104	Русские Лингвоспецифичные Лексические Единицы в Параллельных Корпусах: Возможности Исследования и «Подводные Камни»	http://www.dialog-21.ru/digests/dialog2015/materials/pdf/ShmelevAD.pdf	
3	dialogue_2019_03f4c316f774af7eb5e83660acb0635578d6c9e8	ru	0.9828046560287476	Дискурсивные Слова В Корпусном Измерении: Одним Словом У Достоевского И Его Современников	http://www.dialog-21.ru/media/4585/baranovanplusdobrovolskij-do-043.pdf	
4	dialogue_2017_4764b1d97f58093df9caa377385a9a280f81e3bc	ru	0.9827899932861328	Дискурсивные Частицы и Способы их Перевода: ну в Романе Владимира Сорокина «Очередь»	http://www.dialog-21.ru/media/3907/dobrovol-skijdolevontinaib.pdf	
5	dialogue_2015_bc80b684c8eb71dd999dab8eb458c0efb4ab531e	ru	0.98248690366745	Лингвоспецифичные Единицы Русского Языка в Свете Контрастивного Корпусного Анализа	http://www.dialog-21.ru/digests/dialog2015/materials/pdf/ZalizniakAnnaA.pdf	TASK::Извлечение_именованных_сущностей(0.703668475151062)
6	dialogue_2017_093856064e8b96038bbdbb6c563857b1fc90d8eb	ru	0.9824362993240356	Говорю Я, Карл...	http://www.dialog-21.ru/media/3941/rakhilinaev.pdf	
7	dialogue_2019_f0e2520e152969eced10e85d612e59e97bb7440b	ru	0.9823390245437622	Русское Что-То Как Дискурсивное Слово	http://www.dialog-21.ru/media/4639/zalizniakannaapluspaduchevaev-038.pdf	
8	dialogue_2019_c7586d366e9190922eff6a7a00c78406d3229232	ru	0.9820688962936401	Производные Значения Русского Неопределенного Наречия Как-То: Опыт Корпусного Анализа	http://www.dialog-21.ru/media/4616/mikaelianilpluszalizniakannaa-053.pdf	
9	dialogue_2017_e834bbc8973b08f925c248b315bdc9c1f7a9579b	ru	0.9816579818725586	Реверсивный Перевод как Инструмент Лингвистического Анализа Дискурсивных Слов	http://www.dialog-21.ru/media/3946/shmelevadzalizniakana.pdf	
10	dialogue_2012_68cc91137e1b4d8adc600c866579d191282ae807	ru	0.980807900428772	О Синонимии Фокусирующих Частиц (На Материале Немецкого и Русского Языков)	http://www.dialog-21.ru/media/1324/156.pdf	

17.		dialogue_2007_8b928b108aae7fc55c38f33b2456ae5e2d6889ab	ru	Частица -То: Морфема и Лексема	http://www.dialog-21.ru/media/1854/33.pdf	
1	dialogue_2015_99e788fae4442d09f82ce0dc29b33dde52628d53	ru	0.9904477596282959	Статья Значит Статья: об Одном Классе Тавтологических Конструкций в Русском Языке	http://www.dialog-21.ru/digests/dialog2015/materials/pdf/VilinbakhovaEL.pdf	
2	dialogue_2007_c5b4c2921839ea73d33306d411cbbb9dbc1c7b45	ru	0.989025354385376	Семантика Кавычек	http://www.dialog-21.ru/media/1850/29.pdf	
3	dialogue_2017_8c3578e219bc70001746d4b4dd6164ac98b36634	ru	0.9887813329696655	Как Нам быть с Конструкциями Типа как Быть?	http://www.dialog-21.ru/media/3915/iomdinll.pdf	
4	dialogue_2008_33f8132d7279f34984acd7ce373830bfdea6599f	ru	0.9884499907493591	Тексты А.платонова как Лингвистический Источник	http://www.dialog-21.ru/media/1745/24.pdf	
5	dialogue_2013_60a42db6b8cc0c523f57938607f88b0398e153c3	ru	0.9871370792388916	Нечеткая Номинация в Русской Разговорной Речи: Опыт Корпусного Исследования	http://www.dialog-21.ru/media/1281/podlesskayavi.pdf	
6	dialogue_2016_70cc4173f4c190e0ad3d7190a5cc5b4fbb2da178	ru	0.9867261648178101	Дискурсивные Слова И Коммуникативы	http://www.dialog-21.ru/media/3423/sharonovia.pdf	TASK::Извлечение_именованных_сущностей(0.7019610404968262)
7	dialogue_2008_1a8f4e0fad2e4388b2aa60abb8a455f8fbd3a6d2	ru	0.9867222309112549	О Проекте Активного Словаря (Ас) Русского Языка	http://www.dialog-21.ru/media/1725/4.pdf	TASK::Извлечение_именованных_сущностей(0.7031869888305664)
8	dialogue_2013_89612ad760be1ee7629208ec993f384afde2e02d	ru	0.9866966009140015	Читать не Читал, Но...: об Одной Русской Конструкции с Повторяющимися Словесными Элементами	http://www.dialog-21.ru/media/1248/iomdinll.pdf	
9	dialogue_2011_f78ff140eb114fae7ac137e6ad6341e82fde816a	ru	0.9865388870239258	О Некоторых Глаголах с Неассертивными Значениями	http://www.dialog-21.ru/media/1442/41.pdf	
10	dialogue_2017_43e41133d6f8ff3438d9418ecc0c4edda43ab1d6	ru	0.9863284826278687	Отрицательная и Положительная Поляризация: Семантические Источники	http://www.dialog-21.ru/media/3896/apresjanvju.pdf	TASK::Извлечение_именованных_сущностей(0.7037876844406128)

18.		dialogue_2007_5095e9f5bb85baafc76ad77f4b79d7f412c5b0c7	ru	Роль Пунктуации в Разрешении Неоднозначности	http://www.dialog-21.ru/media/1828/07.pdf	
1	dialogue_2002_d1de430cf94bc088d7d83ee8b3c21b3fc5892315	ru	0.9893204569816589	Уроки Русско-английского(из Опыта Работы Системы Машинного Перевода)	http://www.dialog-21.ru/digest/2002/articles/iomdinl/	
2	dialogue_2018_0937452382ad2a1dcb6a58de9fb087e961d79f00	ru	0.9874030351638794	Насколько Лингвоспецифичен Союз Хотя?	http://www.dialog-21.ru/media/4300/inkovaoyu_nurievv.pdf	
3	dialogue_2014_0dcf3e0729a792f4b40d2a00929ab6ce287c9e01	ru	0.9868476390838623	Прагматика Зачёркивания: Нормы Коммуникации и Теория Оптимальности	http://www.dialog-21.ru/digests/dialog2014/materials/pdf/PiperskiAChSominAA.pdf	
4	dialogue_2018_fda759598347b245640afdb20c830468273ba0ad	ru	0.9865535497665405	Что Будет, То (И) Будет: Об Одном Классе Тавтологических Конструкций В Русском Языке	http://www.dialog-21.ru/media/4340/vilinbakhovael.pdf	
5	dialogue_2003_0d136c11f9eca955589ff0ab993a8bb08237c8b7	ru	0.9859930276870728	Паразитизм или Симбиоз: Механизм Преодоления Коммуникативных Сбоев и Обслуживающие его Вербальные Средства	http://www.dialog-21.ru/media/2618/daragan.pdf	
6	dialogue_2002_9192629ba7e676b1df9d2b5ba4655fb05b911d1b	ru	0.9859345555305481	Риторическая Структура Текста и Маркеры Порождения Речи	http://www.dialog-21.ru/digest/2002/articles/daragan/	
7	dialogue_2007_2faf734ef7966d36d16044554bbd435373e13861	ru	0.9857984781265259	О Маркерах Разговорной Речи (Предварительное Исследование Подкорпуса Кино в Национальном Корпусе Русского Языка, www.ruscorpora.ru)	http://www.dialog-21.ru/media/1843/22.pdf	
8	dialogue_2013_725a6f6c0949db6a776b238748da29f50eff7bf7	ru	0.9855642914772034	Литуративы в Русском Интернете: Семантика, Синтаксис И Технические Особенности Бытования	http://www.dialog-21.ru/media/1280/piperskiach.pdf	
9	dialogue_2016_5996b01d5092eef86a386fb365dd78f11fb66c15	ru	0.9855234622955322	«как Говорится, Статья есть Статья»: Некоторые Аспекты Функционирования Тавтологий В Коммуникации	http://www.dialog-21.ru/media/3439/vilinbakhovael.pdf	
