1.		aist_2012_c6bc0383ea448fcb7e5f45ac85a1afb2d12505ef	ru	Применение Онтологии при Синтезе Изображения по Тексту	http://legacy.aistconf.org/stuff/aist2012.pdf	TASK::Дистрибутивная_семантика(0.755886971950531)|TASK::Конечные_преобразователи(0.7476552724838257)|TASK::Языковые_модели(0.7371660470962524)|TASK::Тематическое_моделирование(0.7356764674186707)|TASK::Извлечение_именованных_сущностей(0.733953595161438)|TASK::Извлечение_ключевых_слов(0.7184091806411743)|TASK::Обработка_речи(0.7108583450317383)|TASK::Обнаружение_дубликатов(0.7020483016967773)

8.		dialogue_2002_189f5dd4351f966d86f836462283ef485f0255cd	ru	Разработка Формализма для Описания Сегментных Морфологических Процессов в Германских Языках и его Компьютерная Реализация	http://www.dialog-21.ru/digest/2002/articles/perekrestenko/	TASK::Конечные_преобразователи(0.7530648708343506)|TASK::Дистрибутивная_семантика(0.7362344264984131)|TASK::Извлечение_именованных_сущностей(0.7139803171157837)|TASK::Обработка_речи(0.7089104056358337)
1	dialogue_2004_362ef4c32d51ff3d0cc37fdfdfc411b9b1be72b1	ru	0.9742236733436584	Разработка Системы Автоматического Синтаксического Анализа на Основе Мягко Контекстно-зависимой Унификационной Грамматики	http://www.dialog-21.ru/media/2557/perekrestenko.pdf	TASK::Конечные_преобразователи(0.7490770816802979)|TASK::Дистрибутивная_семантика(0.7421982288360596)|TASK::Извлечение_именованных_сущностей(0.7258235216140747)
2	dialogue_2005_f0716199b0fb1c9cea6ceaba385fde12118646d1	ru	0.9741959571838379	Разработка Парсера и Модуля Унификации для Синтаксического Процессора	http://www.dialog-21.ru/media/2414/perekrestenkoa.pdf	TASK::Конечные_преобразователи(0.7629303336143494)|TASK::Дистрибутивная_семантика(0.7546283006668091)|TASK::Извлечение_именованных_сущностей(0.7343102693557739)|TASK::Тематическое_моделирование(0.7153182625770569)|TASK::Извлечение_ключевых_слов(0.7144143581390381)|TASK::Языковые_модели(0.7127367258071899)|TASK::Обнаружение_дубликатов(0.7082812190055847)
3	dialogue_2006_94358299f43a22fc4a98943d9aae99341b158608	ru	0.972813606262207	Модель Синтаксиса в Системе Морфосинтаксического Анализа «Treeton»	http://www.dialog-21.ru/media/2005/starostin.pdf	TASK::Конечные_преобразователи(0.7671618461608887)|TASK::Дистрибутивная_семантика(0.7610045671463013)|TASK::Извлечение_именованных_сущностей(0.7156676054000854)
4	dialogue_2001_09e3b519a2276fe25446cf717ab04b7e1d1654e5	ru	0.9702776074409485	Словокомплексы и Шаблоны в Технологии Inbase	http://www.dialog-21.ru/digest/2001/articles/azhichakov/	TASK::Конечные_преобразователи(0.7259483337402344)|TASK::Дистрибутивная_семантика(0.7245274782180786)|TASK::Извлечение_именованных_сущностей(0.721835196018219)|TASK::Тематическое_моделирование(0.703166663646698)|TASK::Обнаружение_дубликатов(0.7012155652046204)
5	dialogue_2006_504ecadba8e6c6b4b29e5e1706b5b288a335ae0d	ru	0.9690183997154236	Интегрированная Информационная Среда Starling и Её Использование в Сфере Корпусной Лингвистики	http://www.dialog-21.ru/media/1971/krylov.pdf	TASK::Дистрибутивная_семантика(0.7709875106811523)|TASK::Конечные_преобразователи(0.753991425037384)|TASK::Обработка_речи(0.740385890007019)|TASK::Извлечение_именованных_сущностей(0.7302735447883606)|TASK::Языковые_модели(0.7280857563018799)|TASK::Извлечение_ключевых_слов(0.7254651784896851)|TASK::Обнаружение_дубликатов(0.7186347842216492)|TASK::Синтаксический_анализ(0.7105494737625122)|TASK::Тематическое_моделирование(0.7095829248428345)
6	dialogue_2002_6679f134c915ebe549b0e4ec3af7dff91994adb0	ru	0.9687659740447998	Морфологическое Описание Языка и Глоссирование Текста: Задачи Лингвиста и Автоматизированной Системы (На Материале Селькупского Языка)	http://www.dialog-21.ru/digest/2002/articles/egorushkin/	TASK::Дистрибутивная_семантика(0.7550674676895142)|TASK::Конечные_преобразователи(0.7432043552398682)|TASK::Извлечение_именованных_сущностей(0.7211868762969971)|TASK::Обработка_речи(0.7192568778991699)|TASK::Языковые_модели(0.7191694974899292)|TASK::Тематическое_моделирование(0.7025959491729736)
7	dialogue_2003_d2833f08db67f72fee623ad229a7510c7b8df9aa	ru	0.9681078195571899	Объектная Модель Многофункциональных Словарей, Основанная на Синтезе Лингвистических Единиц	http://www.dialog-21.ru/media/2636/ivlicheva.pdf	TASK::Извлечение_именованных_сущностей(0.7554365396499634)|TASK::Конечные_преобразователи(0.744012713432312)|TASK::Дистрибутивная_семантика(0.7432229518890381)|TASK::Тематическое_моделирование(0.709507942199707)|TASK::Языковые_модели(0.7032158970832825)
8	dialogue_2006_1a178f3e6624cf42d426513c38391e928ec63764	ru	0.9670838117599487	Автоматический Анализ Стиха в Системе Starlng	http://www.dialog-21.ru/media/1969/kozmin.pdf	TASK::Обработка_речи(0.729936957359314)|TASK::Конечные_преобразователи(0.7275863289833069)|TASK::Дистрибутивная_семантика(0.7198912501335144)|TASK::Извлечение_именованных_сущностей(0.7065567374229431)
9	dialogue_2010_654a11da5a92fd9ef5df40bdbf209938e4fca7bf	ru	0.9667518138885498	Поиск Ошибок в Корпусе с Помощью Mte-разметки	http://www.dialog-21.ru/media/1659/34.pdf	TASK::Обработка_речи(0.7286055088043213)|TASK::Конечные_преобразователи(0.7250385284423828)|TASK::Извлечение_именованных_сущностей(0.7219094634056091)|TASK::Дистрибутивная_семантика(0.7188597321510315)
10	dialogue_2007_034f53e313f77ec88364a3138f1785cbd61d32bb	ru	0.9663205742835999	Создание и Переработка Лексических Баз Данных в Интегрированной Информационной Среде Starling	http://www.dialog-21.ru/media/1870/49.pdf	TASK::Конечные_преобразователи(0.7392669916152954)|TASK::Извлечение_именованных_сущностей(0.7238927483558655)|TASK::Дистрибутивная_семантика(0.7120039463043213)|TASK::Обнаружение_дубликатов(0.7054809331893921)|TASK::Извлечение_ключевых_слов(0.7029128670692444)

9.		dialogue_2003_e0f3ab61a399630033ac49475bf036c043196202	ru	Сколько Страниц на Данном Языке Содержит Интернет?	http://www.dialog-21.ru/media/2611/bolshakov.pdf	TASK::Конечные_преобразователи(0.7216793298721313)|TASK::Дистрибутивная_семантика(0.7090035676956177)|TASK::Извлечение_именованных_сущностей(0.7066996097564697)|TASK::Извлечение_ключевых_слов(0.7007654905319214)
1	aist_2013_41d7684e528d04d31dc6f0f7937b60bb7fe64e2b	ru	0.9836399555206299	Оценка Сниппетов в Поиске Mail.ru: Корреляция Автоматических и Ассессорских Оценок	http://www.academia.edu/download/31338210/aist2013_submission_38.pdf	TASK::Извлечение_именованных_сущностей(0.7073990702629089)|TASK::Тематическое_моделирование(0.704361617565155)|TASK::Обнаружение_дубликатов(0.703773021697998)|TASK::Конечные_преобразователи(0.7023344039916992)
2	dialogue_2009_ac4a1cd7d3a5d29ea900544527574468fa4d13c4	ru	0.9834147691726685	Лексические Функции и Возможности Оптимизации Поиска Информации в Интернете (На Материале Параметрических Слов)	http://www.dialog-21.ru/media/1624/74.pdf	TASK::Конечные_преобразователи(0.7323795557022095)|TASK::Дистрибутивная_семантика(0.7179170250892639)|TASK::Извлечение_именованных_сущностей(0.7098468542098999)|TASK::Извлечение_ключевых_слов(0.7007201910018921)|TASK::Тематическое_моделирование(0.7006034255027771)
3	dialogue_2006_d98b067197b8a857941ed7964f623502395c3315	ru	0.9823746681213379	Расширенный Эксперимент по Автоматическому Обнаружению и Исправлению Русских Малапропизмов	http://www.dialog-21.ru/media/1933/bolshakova.pdf	TASK::Конечные_преобразователи(0.7110523581504822)|TASK::Извлечение_именованных_сущностей(0.7086849212646484)|TASK::Обнаружение_дубликатов(0.7001690864562988)
4	aist_2013_850a8c2b914358a5124c7051ac01bb5c59f28c6f	ru	0.9823305606842041	Генерация Сниппетов в Поисковых Системах как Задача Автоматического Квазиреферирования	http://legacy.aistconf.org/stuff/aist2013.pdf	TASK::Конечные_преобразователи(0.7407076954841614)|TASK::Извлечение_ключевых_слов(0.7216795086860657)|TASK::Информационный_поиск(0.7205919027328491)|TASK::Тематическое_моделирование(0.719534695148468)|TASK::Обнаружение_дубликатов(0.714154064655304)|TASK::Извлечение_именованных_сущностей(0.7139255404472351)|TASK::Дистрибутивная_семантика(0.7130366563796997)
5	aist_2012_0d7835669cae12eae3023ad7b24430af4d60ea2e	ru	0.9812277555465698	Система Автоматического Квазиреферирования Wexsy	http://legacy.aistconf.org/stuff/aist2012.pdf	TASK::Тематическое_моделирование(0.7361141443252563)|TASK::Конечные_преобразователи(0.7317054271697998)|TASK::Дистрибутивная_семантика(0.7277642488479614)|TASK::Извлечение_ключевых_слов(0.7209874987602234)|TASK::Извлечение_именованных_сущностей(0.720948338508606)|TASK::Информационный_поиск(0.7174358367919922)|TASK::Обнаружение_дубликатов(0.7051164507865906)
6	dialogue_2011_7200c18071a8974f2f383ed885b576a5bc31bebb	ru	0.9811357259750366	Высокоточный Метод Распознавания Концов Предложений	http://www.dialog-21.ru/media/1438/37.pdf	TASK::Конечные_преобразователи(0.7332960367202759)|TASK::Дистрибутивная_семантика(0.7226893901824951)|TASK::Тематическое_моделирование(0.7116513848304749)|TASK::Извлечение_именованных_сущностей(0.711013913154602)|TASK::Извлечение_ключевых_слов(0.7093666791915894)|TASK::Обнаружение_дубликатов(0.7015593647956848)
7	dialogue_2007_6d1c8946649744b1390f66d0b855ceece9cb838c	ru	0.980566143989563	Динамическое Программирование, Основанное на Вычислении Лексического Сходства, для Выравнивания Параллельных Текстов и его Оценка	http://www.dialog-21.ru/media/1840/19.pdf	TASK::Конечные_преобразователи(0.7244309186935425)|TASK::Дистрибутивная_семантика(0.7230556011199951)|TASK::Тематическое_моделирование(0.7058798670768738)|TASK::Извлечение_ключевых_слов(0.701495885848999)
8	dialogue_2008_ad8aefdfb77a93eaa2236b6640211dbe3ab4bbd7	ru	0.9805507659912109	Автоматическое Разбиение Текста на Предложения для Русского Языка	http://www.dialog-21.ru/media/1803/83.pdf	TASK::Конечные_преобразователи(0.7254008054733276)|TASK::Тематическое_моделирование(0.7054322957992554)|TASK::Обработка_речи(0.7023822069168091)
9	dialogue_2000_aa737aec6c6aca16230c8f4793e25fe94a99bced	ru	0.9805495738983154	Вариант Системы Распознавания Речи	http://www.dialog-21.ru/digest/2000/articles/galunov/	TASK::Конечные_преобразователи(0.7427104115486145)|TASK::Дистрибутивная_семантика(0.7224513292312622)|TASK::Извлечение_именованных_сущностей(0.7042449712753296)
10	dialogue_2007_1fe592088f833b4e88dc9f1f69262c3e73f10757	ru	0.9805121421813965	Автоматическое Извлечение Терминологии с Использованием Поисковых Машин Интернета	http://www.dialog-21.ru/media/1835/14.pdf	TASK::Тематическое_моделирование(0.7335147857666016)|TASK::Извлечение_ключевых_слов(0.7317078113555908)|TASK::Извлечение_именованных_сущностей(0.7301098108291626)|TASK::Дистрибутивная_семантика(0.7247523069381714)|TASK::Информационный_поиск(0.7155904173851013)|TASK::Конечные_преобразователи(0.7135218381881714)|TASK::Обнаружение_дубликатов(0.7129848003387451)

10.		dialogue_2003_ccc14b44cd5851614cd4adfbd59dd73fcdb8a09e	ru	Две Стратегии Взвешивания Признаков при Дистрибутивной Классификации Слов	http://www.dialog-21.ru/media/2677/pekar.pdf	TASK::Извлечение_именованных_сущностей(0.724582314491272)|TASK::Конечные_преобразователи(0.7219904661178589)|TASK::Дистрибутивная_семантика(0.7133438587188721)
1	dialogue_2002_586a53fd1369411ce28af3c73f813cd7ee699bde	ru	0.9835391044616699	Автоматическое Пополнение Специализированного Тезаурус	http://www.dialog-21.ru/digest/2002/articles/pekar/	TASK::Извлечение_именованных_сущностей(0.720969557762146)|TASK::Конечные_преобразователи(0.716941773891449)|TASK::Дистрибутивная_семантика(0.7125621438026428)
2	dialogue_2004_4bcf5826b7d5003df12f07c646fa971ac7ac48f6	ru	0.9809978008270264	Дистрибутивная Модель Сочетаемостных Ограничений Глаголов	http://www.dialog-21.ru/media/2556/pekar.pdf	TASK::Конечные_преобразователи(0.728702187538147)|TASK::Дистрибутивная_семантика(0.7115148305892944)|TASK::Обнаружение_дубликатов(0.7011535167694092)
3	dialogue_2010_89654a6e174bee3159dfb0992fc50386d87840a1	ru	0.980294406414032	Референциальный Выбор как Многофакторный Вероятностный Процесс	http://www.dialog-21.ru/media/1653/28.pdf	TASK::Конечные_преобразователи(0.7435669898986816)|TASK::Дистрибутивная_семантика(0.7254860401153564)|TASK::Извлечение_именованных_сущностей(0.7223395109176636)|TASK::Тематическое_моделирование(0.7212252616882324)|TASK::Языковые_модели(0.7152397632598877)|TASK::Обработка_речи(0.703609824180603)
4	dialogue_2005_bcc73955169fcb7f1faa92fadf2b3dff77012aeb	ru	0.9802865982055664	Вероятностная Модель Снятия Морфологической Омонимии на Основе Нормализующих Подстановок и Позиций Соседних Слов	http://www.dialog-21.ru/media/2444/zelenkov_segalovich.pdf	TASK::Конечные_преобразователи(0.7472383975982666)|TASK::Дистрибутивная_семантика(0.7453641891479492)|TASK::Извлечение_именованных_сущностей(0.7251183986663818)|TASK::Тематическое_моделирование(0.714035153388977)|TASK::Извлечение_ключевых_слов(0.7131860256195068)|TASK::Языковые_модели(0.7111579179763794)|TASK::Обработка_речи(0.7071468234062195)|TASK::Обнаружение_дубликатов(0.7031190991401672)
5	dialogue_2006_4e4d74ae8124c5e7f5dcc51dfd96c61b10418ff3	ru	0.9802460670471191	Алгоритм Автоматизированного Разрешения Анафоры Местоимений Третьего Лица на Основе Методов Машинного Обучения	http://www.dialog-21.ru/media/2008/tolpegin.pdf	TASK::Конечные_преобразователи(0.7515459060668945)|TASK::Дистрибутивная_семантика(0.740095853805542)|TASK::Извлечение_именованных_сущностей(0.7275848388671875)|TASK::Тематическое_моделирование(0.7220644950866699)|TASK::Языковые_модели(0.7127543687820435)|TASK::Обработка_речи(0.7031344771385193)
6	dialogue_2012_0a001d407b1cf2a74999fd05536a51978f627836	ru	0.9791780710220337	Автоматический Анализ Тональности Текстов на Основе Методов Машинного Обучения	http://www.dialog-21.ru/media/1380/105.pdf	TASK::Конечные_преобразователи(0.7275950908660889)|TASK::Тематическое_моделирование(0.7252894043922424)|TASK::Дистрибутивная_семантика(0.7217291593551636)|TASK::Языковые_модели(0.7099071145057678)|TASK::Извлечение_ключевых_слов(0.7064872980117798)|TASK::Извлечение_именованных_сущностей(0.7040544152259827)
7	dialogue_2009_96fe9e297f9ba870b07148f0377038e8583381ab	ru	0.9788039922714233	Идентификация Автора Текста с Помощью Аппарата Опорных Векторов в Случае Двух Возможных Альтернатив	http://www.dialog-21.ru/media/1617/67.pdf	TASK::Конечные_преобразователи(0.742403507232666)|TASK::Дистрибутивная_семантика(0.738194465637207)|TASK::Извлечение_именованных_сущностей(0.7117548584938049)|TASK::Тематическое_моделирование(0.7109876871109009)|TASK::Языковые_модели(0.7092157602310181)|TASK::Обнаружение_дубликатов(0.7066670656204224)|TASK::Извлечение_ключевых_слов(0.7003300189971924)
8	dialogue_2008_c69bd78a65834f8e697945f4fa81e759a979d8a0	ru	0.9781309366226196	генетический Алгоритм Для Автоматического Разбиения Слов на Морфемы	http://www.dialog-21.ru/media/1736/15.pdf	TASK::Конечные_преобразователи(0.7540581226348877)|TASK::Дистрибутивная_семантика(0.7509753704071045)|TASK::Извлечение_именованных_сущностей(0.7155224084854126)|TASK::Языковые_модели(0.7129185199737549)|TASK::Обработка_речи(0.7061600685119629)|TASK::Тематическое_моделирование(0.7046202421188354)|TASK::Извлечение_ключевых_слов(0.7027407884597778)
9	dialogue_2000_272f9b28251b211435579fb2ee528b83e671a090	ru	0.9770641326904297	Кластерный Анализ Многофакторных Лингвистических Понятий	http://www.dialog-21.ru/digest/2000/articles/solovyev/	TASK::Конечные_преобразователи(0.7563174962997437)|TASK::Дистрибутивная_семантика(0.7427221536636353)|TASK::Извлечение_именованных_сущностей(0.7363244891166687)
10	dialogue_2012_866d8e6931845499e1faf795e5ae681f52c6e44a	ru	0.9767700433731079	Оптимизация Модели Референциального Выбора, Основанной на Машинном Обучении	http://www.dialog-21.ru/media/1332/159.pdf	TASK::Конечные_преобразователи(0.7299337387084961)|TASK::Тематическое_моделирование(0.7213495373725891)|TASK::Языковые_модели(0.7152231931686401)|TASK::Извлечение_именованных_сущностей(0.7134451270103455)|TASK::Дистрибутивная_семантика(0.7070623636245728)|TASK::Обработка_речи(0.7030925750732422)

11.		dialogue_2003_b42261987b561abd566100c046ad51dd958702a6	ru	О Некоторых Семиотических Парадоксах в Русской Грамматике	http://www.dialog-21.ru/media/2678/percov.pdf	TASK::Обработка_речи(0.7215991020202637)|TASK::Извлечение_именованных_сущностей(0.7047498226165771)|TASK::Дистрибутивная_семантика(0.7010293006896973)
1	dialogue_2000_f911271f58e2817b4e2eb3289bcb5f1153c64d03	ru	0.9843994975090027	Автоматический Морфологический Анализ Русских Словоформ с Префиксальным Отрицанием: Несколько Теоретических Проблем	http://www.dialog-21.ru/digest/2000/articles/krylov/	TASK::Обработка_речи(0.7311664819717407)|TASK::Дистрибутивная_семантика(0.7137256264686584)|TASK::Извлечение_именованных_сущностей(0.712043285369873)
2	dialogue_2010_9e64e5d6f4950200924caf0f8a9cc765b35a425c	ru	0.9797234535217285	Именные Предикативы и Дативные Предложения в Европейских Языках	http://www.dialog-21.ru/media/1704/79.pdf	TASK::Обработка_речи(0.7231703996658325)|TASK::Дистрибутивная_семантика(0.7028824090957642)|TASK::Извлечение_именованных_сущностей(0.7006468772888184)
3	dialogue_2004_4c05fde1a895912e844e663e608f5398e2b9c5b6	ru	0.9795005321502686	О Явлении Автоконверсии	http://www.dialog-21.ru/media/2509/gankin.pdf	TASK::Извлечение_именованных_сущностей(0.7019860148429871)
4	dialogue_2013_4b0ee8b52c633bc2cc9ee587756a5e3f776a8a66	ru	0.9787358045578003	Полипредикативные Конструкции с то что в Непубличной Устной Речи	http://www.dialog-21.ru/media/1254/korotaevna.pdf	TASK::Обработка_речи(0.7368021011352539)
5	dialogue_2007_ed67c940fe22dc3e82e4e5694785bd4a244e0f14	ru	0.9783942103385925	Полисемия Дискурсивных Слов и Возможности ее Разрешения в Контексте Предложения (На Примере Слова Вот)	http://www.dialog-21.ru/media/1859/38.pdf	TASK::Дистрибутивная_семантика(0.731367290019989)|TASK::Обработка_речи(0.7250465154647827)|TASK::Извлечение_именованных_сущностей(0.7211043238639832)|TASK::Тематическое_моделирование(0.7136205434799194)|TASK::Конечные_преобразователи(0.7044245004653931)
6	dialogue_2006_efac0ef41b692b6dfb2e8d9a4fa6d420c332e2db	ru	0.9779567718505859	Русские Предикатные Имена и Отрицание	http://www.dialog-21.ru/media/1993/pazelskaya.pdf	TASK::Дистрибутивная_семантика(0.7042048573493958)|TASK::Обработка_речи(0.7037352323532104)|TASK::Конечные_преобразователи(0.7031991481781006)|TASK::Извлечение_именованных_сущностей(0.7031447291374207)
7	dialogue_2006_3ae7aa2ebf6641e8a3e1ea68d3b1a6a15f1e1ab2	ru	0.9777834415435791	Способы Введения Темы в Русском Языке	http://www.dialog-21.ru/media/1952/grudeva.pdf	TASK::Обработка_речи(0.748458743095398)|TASK::Тематическое_моделирование(0.7345408797264099)|TASK::Дистрибутивная_семантика(0.709347128868103)|TASK::Языковые_модели(0.7070176005363464)|TASK::Извлечение_именованных_сущностей(0.7064915895462036)
8	dialogue_2004_27a67dd9f048c92af950c0ea6d672f11ec57f151	ru	0.977280855178833	Серия Неопределённых Местоимений с Нулевым Маркером Неопределённости в Русском Языке	http://www.dialog-21.ru/media/2574/tretjakova.pdf	TASK::Обработка_речи(0.7311220169067383)
9	dialogue_2009_c0ed689f47986bb006197674999244bed4e311b8	ru	0.9770023226737976	Модели Деривации и Синтаксическая Позиция Отглагольных Существительных по Корпусным Данным	http://www.dialog-21.ru/media/1607/57.pdf	TASK::Извлечение_именованных_сущностей(0.7296946048736572)|TASK::Обработка_речи(0.7126134037971497)|TASK::Дистрибутивная_семантика(0.7036869525909424)
10	dialogue_2010_0c07c936947011b3df9d420b542c51fb642eab06	ru	0.9766355752944946	Видовая Корреляция в Толковом Словаре	http://www.dialog-21.ru/media/1710/85.pdf	

12.		dialogue_2019_4a5c4385216b2220faf8860da8101e1c3744c9ca	ru	Прагматика В Интерпретации Сфер Действия (На Материале Письменных Русских Текстов)	http://www.dialog-21.ru/media/4582/apresjanvju-066.pdf	TASK::Обработка_речи(0.7186609506607056)|TASK::Тематическое_моделирование(0.7028958797454834)|TASK::Дистрибутивная_семантика(0.7017603516578674)
1	dialogue_2018_0eb84d5355d2391499df211f5922f3135d5592ee	ru	0.9918786883354187	Разрешение Неоднозначности Сфер Действия В Письменных Текстах (На Материале Английского Языка)	http://www.dialog-21.ru/media/4285/apresyanvju.pdf	
2	dialogue_2018_c8e13efcc7fcc866f619d3f5f6d3cbedff02126d	ru	0.9861462712287903	Интерпретация Русских Местоимений В Контекстах Контрфактического Тождества: Опыт Корпусного Исследования	http://www.dialog-21.ru/media/4337/tiskindb.pdf	TASK::Извлечение_именованных_сущностей(0.7052316069602966)|TASK::Обработка_речи(0.7047125697135925)
3	dialogue_2019_3824adc497a9eb6d964638500081edef76c643f2	ru	0.9840916395187378	Семантические Типы Импликатур И Условия Их Возникновения (На Материале Корпуса Газетных Заголовков)	http://www.dialog-21.ru/media/4583/apresjanvjuplusorlovav-012.pdf	TASK::Обработка_речи(0.707534670829773)|TASK::Тематическое_моделирование(0.7063114643096924)|TASK::Извлечение_именованных_сущностей(0.705073893070221)
4	dialogue_2016_2db1947ff83ede162c76d0ea04499356c06b2834	ru	0.9831060767173767	Структура Двухместных Коннекторов Русского Языка В Свете Корпусных Данных	http://www.dialog-21.ru/media/3394/inkovaoyu.pdf	TASK::Обработка_речи(0.7111673355102539)
5	dialogue_2014_f135781f32c4be9967d735ab618edc39f129f58f	ru	0.9821672439575195	Снятая Утвердительность и Неверидикативность	http://www.dialog-21.ru/digests/dialog2014/materials/pdf/PaduchevaEV.pdf	
6	dialogue_2017_43e41133d6f8ff3438d9418ecc0c4edda43ab1d6	ru	0.9817081689834595	Отрицательная и Положительная Поляризация: Семантические Источники	http://www.dialog-21.ru/media/3896/apresjanvju.pdf	
7	dialogue_2018_f135781f32c4be9967d735ab618edc39f129f58f	ru	0.9815340638160706	Снятая утвердительность и неверидикативность	http://www.dialog-21.ru/media/4323/paduchevaev.pdf	
8	dialogue_2013_4b0ee8b52c633bc2cc9ee587756a5e3f776a8a66	ru	0.9815258979797363	Полипредикативные Конструкции с то что в Непубличной Устной Речи	http://www.dialog-21.ru/media/1254/korotaevna.pdf	TASK::Обработка_речи(0.7368021011352539)
9	dialogue_2008_1a8f4e0fad2e4388b2aa60abb8a455f8fbd3a6d2	ru	0.9812015891075134	О Проекте Активного Словаря (Ас) Русского Языка	http://www.dialog-21.ru/media/1725/4.pdf	TASK::Обработка_речи(0.7148903608322144)
10	dialogue_2015_7b4c4710defc8f51b09181aa69058507651fa681	ru	0.9810529947280884	Валентности Абстрактных Существительных: Редукция Vs. Конкретизация	http://www.dialog-21.ru/digests/dialog2015/materials/pdf/KustovaGI.pdf	TASK::Тематическое_моделирование(0.7289109230041504)|TASK::Извлечение_именованных_сущностей(0.7180886268615723)|TASK::Обработка_речи(0.7136120796203613)|TASK::Дистрибутивная_семантика(0.7116662263870239)|TASK::Конечные_преобразователи(0.7021476030349731)

13.		dialogue_2006_b8c6726eb307e468087cc332646b274ed4c821bc	ru	А кто этот Этот? Имена Собственные и Неопределенная Определенность	http://www.dialog-21.ru/media/1954/iomdinb.pdf	
1	dialogue_2019_f0e2520e152969eced10e85d612e59e97bb7440b	ru	0.9903931617736816	Русское Что-То Как Дискурсивное Слово	http://www.dialog-21.ru/media/4639/zalizniakannaapluspaduchevaev-038.pdf	
2	dialogue_2018_e12b6c4384ff5cb32b0fb1fddb03f06a12ccc67e	ru	0.988635778427124	Русское Как-Нибудь По Данным Параллельных Корпусов	http://www.dialog-21.ru/media/4342/zalizniakannaa.pdf	
3	dialogue_2018_52d7ec2abc79699f01012a79b1540626e87131c4	ru	0.9885212779045105	Абы: Корпусное Исследование В Аспекте Синхронии И Диахронии	http://www.dialog-21.ru/media/4315/levontinaib_shmelevad.pdf	
4	dialogue_2015_5ae5ce82cd8cf56a11ba04b33a8fc50a8e1c5c21	ru	0.9880369305610657	Модальные Частицы и Идея Актуализации Забытого (На Материале Параллельных Корпусов)	http://www.dialog-21.ru/digests/dialog2015/materials/pdf/DobrovolskijDOLevontinaIB.pdf	
5	dialogue_2010_c252069136aa7bb3b8769e50b37854e9229df599	ru	0.9873570203781128	Такая Девочка-девочка. Семантика Редупликации Существительных в Русской Разговорной Речи и Языке Интернета	http://www.dialog-21.ru/media/1490/15.pdf	TASK::Обработка_речи(0.7007178068161011)
6	dialogue_2017_4764b1d97f58093df9caa377385a9a280f81e3bc	ru	0.9872663021087646	Дискурсивные Частицы и Способы их Перевода: ну в Романе Владимира Сорокина «Очередь»	http://www.dialog-21.ru/media/3907/dobrovol-skijdolevontinaib.pdf	TASK::Обработка_речи(0.7100244760513306)
7	dialogue_2012_68cc91137e1b4d8adc600c866579d191282ae807	ru	0.9870138168334961	О Синонимии Фокусирующих Частиц (На Материале Немецкого и Русского Языков)	http://www.dialog-21.ru/media/1324/156.pdf	
8	dialogue_2011_8574fd6ac6f464346d7656fc5851639e2227eaa3	ru	0.9857774972915649	О Некоторых Лексических «Открытиях» на Материале Русской Спонтанной Речи (Корпусное Исследование)	http://www.dialog-21.ru/media/1413/13.pdf	TASK::Обработка_речи(0.7049703001976013)
9	dialogue_2017_e834bbc8973b08f925c248b315bdc9c1f7a9579b	ru	0.9857285618782043	Реверсивный Перевод как Инструмент Лингвистического Анализа Дискурсивных Слов	http://www.dialog-21.ru/media/3946/shmelevadzalizniakana.pdf	
10	dialogue_2013_9dbe16ce07df4823e232657f0c2b12df14673302	ru	0.9857117533683777	Эгоцентрические Единицы Языка и Режимы Интерпретации	http://www.dialog-21.ru/media/1274/paduchevaev.pdf	

14.		dialogue_2006_500e96450545e5b1778ee12e7e83dd23945ace7c	ru	О Лексических Маркерах Хезитации в Спонтанной Речи: Уроки Армянского	http://www.dialog-21.ru/media/1996/podlesskaya.pdf	TASK::Обработка_речи(0.7066310048103333)
1	dialogue_2013_60a42db6b8cc0c523f57938607f88b0398e153c3	ru	0.9874671697616577	Нечеткая Номинация в Русской Разговорной Речи: Опыт Корпусного Исследования	http://www.dialog-21.ru/media/1281/podlesskayavi.pdf	TASK::Обработка_речи(0.7087345123291016)
2	dialogue_2007_2e30ec4ef54387419885b0d339ae800ed84740f0	ru	0.986076831817627	Многозначность Конструкции «Что Плюс за Плюс Именная Группа» в Свете Данных Национального Корпуса Русского Языка: что же Это за Конструкция?!	http://www.dialog-21.ru/media/1892/71.pdf	TASK::Обработка_речи(0.7058601379394531)
3	dialogue_2019_6950c7c7ff7613ae643005c50f4caa7ae5fbdbee	ru	0.9853049516677856	Достали Так Употреблять Инфинитив! О Новой Каузативной Конструкции В Русском Языке	http://www.dialog-21.ru/media/4611/levontinaibpluspolinskyms-029.pdf	TASK::Обработка_речи(0.7043108344078064)
4	dialogue_2002_eb972d964119b90202db5239a38c08c5ba590839	ru	0.9836568236351013	Интерактивное Управление Алгоритмами Перевода в Системах Мп	http://www.dialog-21.ru/digest/2002/articles/epifantseva/	TASK::Конечные_преобразователи(0.708794355392456)|TASK::Обработка_речи(0.7085743546485901)|TASK::Извлечение_именованных_сущностей(0.7026067972183228)
5	dialogue_2017_8c3578e219bc70001746d4b4dd6164ac98b36634	ru	0.9831922054290771	Как Нам быть с Конструкциями Типа как Быть?	http://www.dialog-21.ru/media/3915/iomdinll.pdf	
